Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          57105504 function calls (57101604 primitive calls) in 27.569 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2600000   11.511    0.000   12.892    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:5(isMobile)
  5304000    4.201    0.000    8.400    0.000 /usr/lib/python3.11/random.py:284(randrange)
  5947881    2.909    0.000    3.838    0.000 /usr/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
        1    2.708    2.708   27.569   27.569 /home/saurav/Desktop/CellularAutomata/scripts/main.py:12(start)
  2652000    1.693    0.000   11.723    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:50(get_random_coordinate)
  5304000    1.630    0.000   10.030    0.000 /usr/lib/python3.11/random.py:358(randint)
 15912000    0.868    0.000    0.868    0.000 {built-in method _operator.index}
  7947157    0.571    0.000    0.571    0.000 {method 'getrandbits' of '_random.Random' objects}
   643881    0.440    0.000    1.036    0.000 /usr/lib/python3.11/random.py:367(choice)
  5947883    0.358    0.000    0.358    0.000 {method 'bit_length' of 'int' objects}
2534254/2534246    0.221    0.000    0.221    0.000 {built-in method builtins.len}
  2082320    0.213    0.000    0.213    0.000 {method 'append' of 'list' objects}
       52    0.074    0.001    0.330    0.006 /home/saurav/Desktop/CellularAutomata/project/deposition.py:5(particle_deposition)
    52000    0.016    0.000    0.027    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:71(set_max_height)
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
    52347    0.011    0.000    0.011    0.000 {built-in method builtins.max}
      874    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       52    0.004    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:135(_var)
       19    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
       72    0.003    0.000    0.015    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
       37    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  2100/36    0.003    0.000    0.006    0.000 /usr/lib/python3.11/copy.py:128(deepcopy)
      319    0.002    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1176(_update_props)
     4262    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
       14    0.002    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      521    0.002    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:638(__hash__)
     3021    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:741(__getitem__)
      263    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1743(normalize_kwargs)
      815    0.001    0.000    0.003    0.000 /usr/lib/python3.11/copy.py:66(copy)
      756    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
3824/3451    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:317(stale)
     3023    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:690(_get)
     5777    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
      677    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:285(process)
       52    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:132(check_shape)
       55    0.001    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:287(__init__)
     1379    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
       24    0.001    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/ticker.py:2077(_raw_ticks)
      855    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
       74    0.001    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:738(draw)
        1    0.001    0.001    0.001    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
      363    0.001    0.000    0.004    0.000 /usr/lib/python3.11/copy.py:259(_reconstruct)
     7245    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
       43    0.001    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:666(recache)
       62    0.001    0.000    0.014    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
       52    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
       24    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      754    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      469    0.001    0.000    0.001    0.000 /usr/lib/python3.11/contextlib.py:104(__init__)
  122/109    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2431(get_affine)
       18    0.001    0.000    0.017    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      237    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
   144/36    0.001    0.000    0.005    0.000 /usr/lib/python3.11/copy.py:227(_deepcopy_dict)
      126    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:180(__init__)
      263    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1782(<dictcomp>)
      661    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
       12    0.001    0.000    0.039    0.003 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
  469/444    0.001    0.000    0.003    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
       54    0.001    0.000    0.014    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
    188/2    0.001    0.000    0.083    0.041 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
  969/869    0.001    0.000    0.005    0.000 {built-in method builtins.next}
      220    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
      303    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1889(__init__)
       57    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.001    0.001    0.001    0.001 {method 'copy' of 'ImagingCore' objects}
     3934    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.002    0.002 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1393(_findfont_cached)
      469    0.000    0.000    0.001    0.000 /usr/lib/python3.11/contextlib.py:299(helper)
     1058    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:113(__init__)
     3030    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7cb0c6639080}
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:1653(convert_class)
      363    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
