Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          7463722 function calls (7459288 primitive calls) in 2.626 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   714000    0.565    0.000    1.134    0.000 /usr/lib/python3.11/random.py:284(randrange)
   714000    0.341    0.000    0.451    0.000 /usr/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
   340000    0.285    0.000    0.553    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:5(isMobile)
        1    0.269    0.269    2.626    2.626 /home/saurav/Desktop/CellularAutomata/scripts/main.py:11(start)
   340000    0.240    0.000    0.240    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:21(<listcomp>)
   357000    0.215    0.000    1.562    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:59(get_random_coordinate)
   714000    0.214    0.000    1.348    0.000 /usr/lib/python3.11/random.py:358(randint)
  2142000    0.118    0.000    0.118    0.000 {built-in method _operator.index}
   914341    0.067    0.000    0.067    0.000 {method 'getrandbits' of '_random.Random' objects}
   714002    0.042    0.000    0.042    0.000 {method 'bit_length' of 'int' objects}
       21    0.039    0.002    0.039    0.002 {method 'read' of '_io.BufferedReader' objects}
341502/341494    0.028    0.000    0.028    0.000 {built-in method builtins.len}
       17    0.025    0.001    0.111    0.007 /home/saurav/Desktop/CellularAutomata/project/deposition.py:5(particle_deposition)
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
    17000    0.005    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:71(set_max_height)
       19    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
    17383    0.003    0.000    0.003    0.000 {built-in method builtins.max}
      892    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2450/42    0.003    0.000    0.007    0.000 /usr/lib/python3.11/copy.py:128(deepcopy)
       84    0.003    0.000    0.016    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
      347    0.003    0.000    0.012    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1176(_update_props)
       43    0.002    0.000    0.002    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
