Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          29315886 function calls (29311719 primitive calls) in 13.744 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1160000    5.788    0.000    6.749    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:5(isMobile)
  2436000    1.959    0.000    3.934    0.000 /usr/lib/python3.11/random.py:284(randrange)
  2796288    1.384    0.000    1.844    0.000 /usr/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
        1    1.264    1.264   13.744   13.744 /home/saurav/Desktop/CellularAutomata/scripts/main.py:12(start)
  1218000    0.773    0.000    5.471    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:48(get_random_coordinate)
  2436000    0.763    0.000    4.698    0.000 /usr/lib/python3.11/random.py:358(randint)
  7308000    0.419    0.000    0.419    0.000 {built-in method _operator.index}
3705993/3705985    0.311    0.000    0.311    0.000 {built-in method builtins.len}
  3771205    0.284    0.000    0.284    0.000 {method 'getrandbits' of '_random.Random' objects}
   360288    0.259    0.000    0.596    0.000 /usr/lib/python3.11/random.py:367(choice)
  2796290    0.176    0.000    0.176    0.000 {method 'bit_length' of 'int' objects}
  1079599    0.105    0.000    0.105    0.000 {method 'append' of 'list' objects}
       58    0.084    0.001    0.371    0.006 /home/saurav/Desktop/CellularAutomata/project/deposition.py:5(particle_deposition)
    58000    0.018    0.000    0.029    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:71(set_max_height)
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
    58365    0.011    0.000    0.011    0.000 {built-in method builtins.max}
      918    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       58    0.004    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:135(_var)
  2275/39    0.003    0.000    0.007    0.000 /usr/lib/python3.11/copy.py:128(deepcopy)
       19    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
       78    0.003    0.000    0.015    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
       40    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      333    0.002    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1176(_update_props)
     4468    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
     3159    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:741(__getitem__)
      564    0.002    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:638(__hash__)
       14    0.001    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      274    0.001    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1743(normalize_kwargs)
      867    0.001    0.000    0.003    0.000 /usr/lib/python3.11/copy.py:66(copy)
      792    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
4015/3628    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:317(stale)
     6038    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
     3161    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:690(_get)
      713    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:285(process)
       58    0.001    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:287(__init__)
     1447    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
        1    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
      391    0.001    0.000    0.004    0.000 /usr/lib/python3.11/copy.py:259(_reconstruct)
      897    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
       80    0.001    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:738(draw)
       55    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:132(check_shape)
     7737    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       24    0.001    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/ticker.py:2077(_raw_ticks)
        1    0.001    0.001    0.001    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
       58    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
      495    0.001    0.000    0.001    0.000 /usr/lib/python3.11/contextlib.py:104(__init__)
       46    0.001    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:666(recache)
   156/39    0.001    0.000    0.006    0.000 /usr/lib/python3.11/copy.py:227(_deepcopy_dict)
       66    0.001    0.000    0.015    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
       26    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  128/115    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2431(get_affine)
      274    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1782(<dictcomp>)
      132    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:180(__init__)
      791    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       19    0.001    0.000    0.018    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
      247    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
      692    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
        3    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       58    0.001    0.000    0.015    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
    200/2    0.001    0.000    0.086    0.043 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
       12    0.001    0.000    0.041    0.003 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
  495/468    0.001    0.000    0.003    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
 1021/913    0.001    0.000    0.005    0.000 {built-in method builtins.next}
      321    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1889(__init__)
      226    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
      495    0.001    0.000    0.002    0.000 /usr/lib/python3.11/contextlib.py:299(helper)
     4117    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 {method 'copy' of 'ImagingCore' objects}
  722/601    0.001    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
        1    0.000    0.000    0.001    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
        1    0.000    0.000    0.002    0.002 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1393(_findfont_cached)
     1103    0.000    0.000    0.000    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:113(__init__)
       57    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      391    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:1653(convert_class)
      178    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
      311    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     3168    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x78125cd39080}
      135    0.000    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/markers.py:306(_set_marker)
      286    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
       58    0.000    0.000    0.010    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3513(std)
       26    0.000    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       48    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/lib/shape_base.py:612(column_stack)
      156    0.000    0.000    0.006    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
      286    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1270(set_xdata)
      132    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
       97    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1975(rotate)
      307    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1291(set_ydata)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:910(<listcomp>)
      277    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
       21    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      313    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/colors.py:268(to_rgba)
      110    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      706    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:416(pchanged)
