Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          38114645 function calls (38109143 primitive calls) in 17.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1209000    6.668    0.000    7.839    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:5(isMobile)
  3224000    2.623    0.000    5.287    0.000 /usr/lib/python3.11/random.py:284(randrange)
  3661505    1.843    0.000    2.466    0.000 /usr/lib/python3.11/random.py:235(_randbelow_with_getrandbits)
        1    1.423    1.423   17.598   17.598 /home/saurav/Desktop/CellularAutomata/scripts/main.py:11(start)
  1612000    1.039    0.000    7.325    0.000 /home/saurav/Desktop/CellularAutomata/project/helper.py:48(get_random_coordinate)
  3224000    0.998    0.000    6.286    0.000 /usr/lib/python3.11/random.py:358(randint)
      403    0.581    0.001    2.585    0.006 /home/saurav/Desktop/CellularAutomata/project/deposition.py:5(particle_deposition)
  9672000    0.556    0.000    0.556    0.000 {built-in method _operator.index}
  4908909    0.391    0.000    0.391    0.000 {method 'getrandbits' of '_random.Random' objects}
3953665/3953657    0.350    0.000    0.350    0.000 {built-in method builtins.len}
   437505    0.311    0.000    0.733    0.000 /usr/lib/python3.11/random.py:367(choice)
  3661507    0.233    0.000    0.233    0.000 {method 'bit_length' of 'int' objects}
  1571004    0.153    0.000    0.153    0.000 {method 'append' of 'list' objects}
   403000    0.125    0.000    0.201    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:71(set_max_height)
   403455    0.076    0.000    0.076    0.000 {built-in method builtins.max}
      403    0.026    0.000    0.057    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:135(_var)
     1786    0.019    0.000    0.019    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.013    0.013    0.013    0.013 {method 'encode' of 'ImagingEncoder' objects}
      403    0.005    0.000    0.006    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
  3150/54    0.004    0.000    0.009    0.000 /usr/lib/python3.11/copy.py:128(deepcopy)
      108    0.004    0.000    0.021    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
       55    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      403    0.003    0.000    0.062    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3513(std)
       19    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
      403    0.003    0.000    0.011    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:1176(_update_props)
     5807    0.002    0.000    0.004    0.000 {built-in method builtins.getattr}
      403    0.002    0.000    0.060    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_methods.py:204(_std)
      940    0.002    0.000    0.003    0.000 /usr/lib/python3.11/contextlib.py:104(__init__)
      779    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:638(__hash__)
     8288    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3849    0.002    0.000    0.004    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:741(__getitem__)
     1127    0.002    0.000    0.005    0.000 /usr/lib/python3.11/copy.py:66(copy)
       14    0.002    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      329    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1743(normalize_kwargs)
      972    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:2011(_setattr_cm)
  940/903    0.002    0.000    0.005    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
4970/4513    0.002    0.000    0.003    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:317(stale)
      893    0.002    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:285(process)
      940    0.002    0.000    0.004    0.000 /usr/lib/python3.11/contextlib.py:299(helper)
     3851    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/__init__.py:690(_get)
       73    0.001    0.000    0.011    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:287(__init__)
      403    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/project/classes/Surface.py:46(set_total_particle)
      531    0.001    0.000    0.006    0.000 /usr/lib/python3.11/copy.py:259(_reconstruct)
      110    0.001    0.000    0.011    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:738(draw)
     1107    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1787    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
1911/1763    0.001    0.000    0.009    0.000 {built-in method builtins.next}
    10197    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       61    0.001    0.000    0.005    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:666(recache)
       86    0.001    0.000    0.020    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
       36    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
   216/54    0.001    0.000    0.008    0.000 /usr/lib/python3.11/copy.py:227(_deepcopy_dict)
  158/145    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:2431(get_affine)
       70    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:132(check_shape)
      976    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       24    0.001    0.000    0.023    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
      329    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1782(<dictcomp>)
       24    0.001    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/ticker.py:2077(_raw_ticks)
      830    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
       78    0.001    0.000    0.020    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
      162    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:180(__init__)
      847    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
     2124    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
    260/2    0.001    0.000    0.112    0.056 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
      297    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
     5056    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/linalg/linalg.py:492(inv)
  940/903    0.001    0.000    0.006    0.000 /usr/lib/python3.11/contextlib.py:132(__enter__)
      411    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1889(__init__)
       12    0.001    0.000    0.051    0.004 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
      256    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
      531    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      401    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     1328    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:113(__init__)
  922/771    0.001    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      216    0.001    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
     3858    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7114b2441080}
        3    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      218    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
     1296    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      415    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
