Enter the number of rows: Enter the number of columns: Enter the value of theta_dep: Enter the theta_max: Enter the value of Z: Enter the value of tau: Enter the value of saving freq:          29829280 function calls (29824579 primitive calls) in 14.055 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.001    0.000    0.020    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:65(__init__)
      754    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
      267    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:758(__init__)
      296    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/cbook.py:1782(<dictcomp>)
       66    0.001    0.000    0.017    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
    224/2    0.001    0.000    0.099    0.049 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:54(draw_wrapper)
     4491    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        3    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       12    0.001    0.000    0.047    0.004 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
  536/505    0.001    0.000    0.003    0.000 /usr/lib/python3.11/contextlib.py:141(__exit__)
 1103/979    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      357    0.001    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1889(__init__)
      238    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:182(set_children)
     3444    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x77c7ace35080}
     1193    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:113(__init__)
      536    0.001    0.000    0.002    0.000 /usr/lib/python3.11/contextlib.py:299(helper)
        1    0.001    0.001    0.001    0.001 {method 'copy' of 'ImagingCore' objects}
  802/669    0.001    0.000    0.008    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      447    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      347    0.001    0.000    0.001    0.000 {built-in method numpy.array}
        1    0.001    0.001    0.002    0.002 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/font_manager.py:1393(_findfont_cached)
        4    0.001    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:1653(convert_class)
      194    0.001    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:64(check_isinstance)
       57    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      151    0.001    0.000    0.009    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/markers.py:306(_set_marker)
      340    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1291(set_ydata)
      144    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:40(_wrapit)
      180    0.000    0.000    0.007    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
        1    0.000    0.000    0.001    0.001 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
      109    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/transforms.py:1975(rotate)
      310    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
       30    0.000    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       54    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/numpy/lib/shape_base.py:612(column_stack)
      319    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/lines.py:1270(set_xdata)
      313    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
      778    0.000    0.000    0.002    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/artist.py:416(pchanged)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.11/enum.py:910(<listcomp>)
      347    0.000    0.000    0.001    0.000 /home/saurav/Desktop/CellularAutomata/venv/lib/python3.11/site-packages/matplotlib/colors.py:268(to_rgba)
